date,ABB.ST,ALFA.ST,ALIV-SDB.ST,ASSA-B.ST,ATCO-A.ST,ATCO-B.ST,AZN.ST,BOL.ST,ELUX-B.ST,ERIC-B.ST,ESSITY-B.ST,EVO.ST,GETI-B.ST,HEXA-B.ST,HM-B.ST,INVE-B.ST,KINV-B.ST,NDA-SE.ST,NIBE-B.ST,SAND.ST,SBB-B.ST,SCA-B.ST,SEB-A.ST,SHB-A.ST,SINCH.ST,SKF-B.ST,SWED-A.ST,TEL2-B.ST,TELIA.ST,VOLV-B.ST
2018-12-31,168.279266,177.491058,618.206726,146.234558,44.214844,41.414265,695.110962,153.168762,136.635254,69.132217,188.204865,106.830307,72.871689,56.658844,112.367851,87.423286,197.128983,75.97226,22.492165,117.947311,9.236919,66.556381,66.583664,79.161636,8.77,115.479797,144.998947,80.06337,33.117718,93.863327
2019-01-07,169.750259,182.851364,661.502991,147.1586,45.424397,42.718491,660.27124,160.319489,148.407257,68.447731,195.01265,112.097298,77.064667,59.293812,116.122635,90.311409,204.020325,76.878174,23.568323,122.406746,9.305465,70.878731,66.732719,78.533356,8.77,122.673485,149.129532,79.886154,32.847836,95.323769
2019-01-14,171.123154,186.132217,703.019775,155.013214,46.542473,44.115864,652.749023,171.593491,151.978943,69.420403,196.046753,116.072372,79.217316,62.99968,117.758904,91.915939,204.655045,79.027336,24.919605,126.729652,9.665345,74.37867,68.521408,79.20089,9.66,125.593285,152.690445,81.303825,32.500851,98.797264
2019-01-21,172.496063,185.023209,715.2771,155.059402,46.613625,43.587971,642.554382,173.052017,152.99942,73.022926,193.375336,109.612869,78.618301,63.196949,115.605927,91.34288,205.199142,80.000725,24.822212,130.597519,9.682483,74.914185,69.01329,78.886749,10.56,127.032021,150.269028,82.048126,30.673401,98.836739
2019-01-28,170.927032,192.231888,704.403625,157.785461,48.62616,45.49255,657.598938,179.911026,171.951233,72.23037,214.31572,107.923462,96.588203,61.153793,121.427544,92.259758,200.121277,79.509216,25.309162,132.326691,9.682483,75.870453,71.428017,77.355354,10.56,129.570953,145.924744,80.276024,30.418949,103.09967
2019-02-04,172.299911,177.213791,671.980957,174.187729,48.849777,46.248177,681.056335,178.097702,170.274734,73.185036,220.175613,117.463646,94.716339,64.887833,118.413399,92.122223,194.136688,80.154915,25.576984,129.050385,9.699619,75.392311,70.816872,75.863228,10.34,125.085487,147.06424,80.701324,30.04884,101.362907
2019-02-11,179.066406,183.821747,716.661133,174.603546,51.136757,48.390831,745.390869,188.346817,173.190384,78.066452,222.760803,135.351517,100.893509,66.423737,117.448868,94.437302,197.219666,81.822205,26.307407,137.559662,10.17946,77.45787,73.157082,80.614494,10.86,132.279175,149.272003,83.961983,30.634851,106.770523
2019-02-18,185.538696,192.601578,746.118408,178.438492,51.807602,48.980835,756.872314,198.556488,176.907867,79.057137,228.706848,138.233459,102.671768,68.410522,120.531929,96.041832,205.380478,78.824951,28.08477,140.062424,9.973816,80.823936,69.49028,81.556892,12,135.495163,122.066887,86.265709,31.344248,109.336166
2019-02-25,177.448318,186.964005,756.620667,177.791626,51.390858,48.328716,760.534302,198.792999,177.636765,77.021698,223.277878,139.724106,102.765366,69.241867,118.844002,94.414383,211.455734,80.954826,28.267378,140.517471,9.733893,82.258331,70.6231,83.088295,12.02,133.717911,121.7108,86.230263,30.750515,107.757301
2019-03-04,173.378647,177.999359,723.18219,179.039108,48.931095,45.834133,775.944763,189.884201,172.971695,78.372643,225.604584,139.127823,97.570946,65.521927,117.0355,93.130775,211.002365,78.670746,27.938686,134.920441,9.305465,79.829414,69.177254,81.910301,12.5,127.370522,123.135139,88.534004,31.883999,105.586372
2019-03-11,174.261246,185.85498,720.609985,183.428467,50.882641,47.624855,774.953125,192.998322,175.960266,80.318008,230.257996,137.339066,100.097961,68.762787,117.12162,95.789688,218.256424,80.877739,28.57172,140.790497,9.4597,78.873146,70.161026,82.145897,13.04,134.945053,125.877029,90.766846,32.778442,108.309891
2019-03-18,169.652176,185.115631,683.016418,179.316345,50.059334,46.983086,781.993591,198.201736,174.721115,78.210533,231.205917,139.028442,98.787651,67.057808,117.190521,95.354179,214.901428,79.991081,27.877817,138.014709,9.408289,75.162811,70.10141,81.046425,12.1,131.17894,125.485321,90.34153,32.500851,106.375801
2019-03-25,171.074142,197.222519,672.727661,185.461411,50.750507,47.635204,745.997742,208.608475,174.13797,76.931648,231.033585,145.587357,101.314674,68.340057,133.484192,95.973076,218.347076,68.185165,28.985624,137.423172,9.63107,78.720459,59.980453,77.041222,11.52,130.671158,93.544258,87.789719,32.346642,113.678024
2019-04-01,178.429001,202.120758,722.588684,187.124756,54.948372,51.444366,749.666748,223.824478,174.939774,81.180092,224.915192,148.469284,99.910782,72.680016,139.874207,99.182106,226.598572,74.294769,30.336908,149.345337,9.63107,82.041176,64.20842,84.500954,11.6,148.676926,115.833626,87.612495,32.554832,115.098999
2019-04-08,179.262558,207.111404,761.567261,191.375504,56.025795,52.9142,731.024231,226.89917,172.097031,83.29435,233.325363,154.829422,106.696281,71.778198,139.667511,98.723671,226.689255,75.412788,30.531687,153.304199,9.888126,80.791023,67.729767,86.530632,12.24,151.228149,118.444641,88.71122,31.760626,120.039169
